CPTCode,Total,OFF,FAC,TC27,PC26,FUD
35665,2541.03, , , , ,90
35666,2874.19, , , , ,90
35671,2323.25, , , , ,90
35681,1696.72, , , , ,0
35682,783.23, , , , ,0
35683,907.18, , , , ,0
35685,415.28, , , , ,90
35686,343.48, , , , ,90
35691,2892.88, , , , ,90
35693,1862.51, , , , ,90
35694,2165.60, , , , ,90
35695,2165.60, , , , ,90
35697,324.00, , , , ,0
35700,374.61, , , , ,0
35701,829.67, , , , ,90
35721,805.30, , , , ,90
35741,819.92, , , , ,90
35761,824.80, , , , ,90
35800,898.74, , , , ,45
35820,1550.46, , , , ,45
35840,1262.80, , , , ,45
35860,825.61, , , , ,45
35870,2471.96, , , , ,45
35875,1376.55, , , , ,45
35876,1678.86, , , , ,45
35879,1834.02, , , , ,90
35881,2010.95, , , , ,90
35883,"$2,421.76", , , , ,90
35884,"$2,571.81", , , , ,90
35901,1150.65, , , , ,90
35903,1259.55, , , , ,90
35905,1910.44, , , , ,90
35907,1973.01, , , , ,90
36000,34.24, , , , ,0
36002, ,350.12,216.84, , ,0
36005,97.69, , , , ,0
36010,313.76, , , , ,0
36011,346.55, , , , ,0
36012,425.72, , , , ,0
36013,320.19, , , , ,0
36014,364.39, , , , ,0
36015,425.72, , , , ,0
36100,386.50, , , , ,0
36120,298.06, , , , ,0
36140,237.46, , , , ,0
36147, ,"$1,468.00",$368.27, , , 
36148, ,$462.02,$98.28, , , 
36160,381.92, , , , ,0
36200,394.35, , , , ,0
36215,496.32, , , , ,0
36216,586.87, , , , ,0
36217,699.53, , , , ,0
36218,111.24, , , , ,0
362, ,2234.40,423.00, , ,0
362, ,,, , ,0
362, ,3030.07,620.29, , ,0
362, ,"3,291.86",676.13, , ,0
362, ,3008.14,617.86, , ,0
362, ,"3,355.53",677.43, , ,0
362, ,486.12,214.53, , ,0
362, ,"2,303.68",437.07, , ,0
36245,562.63, , , , ,0
36246,586.87, , , , ,0
36247,699.53, , , , ,0
36248,111.24, , , , ,0
36251 , ,"$2,819.07 ",$550.62 , , ,0
36252 , ,"$3,096.88 ",$717.27 , , ,0
36253 , ,"$4,311.48 ",$766.44 , , ,0
36254, ,"$4,486.31",$826.88, , ,0
36260,1275.80, , , , ,45
36261,576.14, , , , ,45
36262,447.74, , , , ,45
36299,BR, , , , ,0
36400,18.54, , , , ,0
36405,42.79, , , , ,0
36406,26.00, , , , ,0
36410,27.09, , , , ,0
36415,8.12, , , , ,0
36416,BR, , , , ,0
36420,104.11, , , , ,0
36425,57.76, , , , ,0
36430,64.17, , , , ,0
36440,152.77, , , , ,0
36450,281.66, , , , ,0
36455,321.61, , , , ,0
36460,792.96, , , , ,0
36468,BR, , , , ,0
36470,101.58, , , , ,0
36471,147.89, , , , ,0
36475, ,"$4,254.16",$725.79, , ,0
36476, ,$841.90,$355.18, , ,0
36478, ,"$3,920.55",$725.79, , ,0
36479, ,$849.85,$355.18, , ,0
36481,962.95, , , , ,0
36488,160.45, , , , ,0
36489,161.87, , , , ,0
36490,211.07, , , , ,0
36491,218.92, , , , ,0
36493,129.06, , , , ,0
36500,248.87, , , , ,0
36510,97.69, , , , ,0
36511,179.98, , , , ,0
36512,179.98, , , , ,0
36513,179.98, , , , ,0
36514,179.98, , , , ,0
36515,179.98, , , , ,0
36516,179.98, , , , ,0
36522,388.43, , , , ,0
36530,771.16, , , , ,15
36531,710.23, , , , ,15
36532,397.37, , , , ,15
36533,646.02, , , , ,15
36534,561.51, , , , ,15
36535,320.99, , , , ,15
36536, ,2641.23,378.69, , ,0
36537, ,599.46,91.51, , ,0
36555,,$645.77,$274.82, , ,0
36556,,$615.94,$250.02, , ,0
36557,,"$1,384.36",$604.30, , ,10
36558,,"$1,359.60",$719.95, , ,10
36560,,"$2,598.24",$719.95, , ,10
36561,,"$2,573.27",$694.28, , ,10
36563,,"$3,235.97",$721.82, , ,10
36565,,"$2,074.87",$694.28, , ,10
