CPTCode,Total,OFF,FAC,TC27,PC26
86331,$38.77, , , , 
86332,$48.74, , , , 
86334,$46.53, , ,$37.22,$9.31
86335,$37.57, , , , 
86336,BR, , ,BR,BR
86337,$53.73, , , , 
86340,$37.66, , , , 
86341,$29.90, , , , 
86343,$37.10, , , , 
86344,$21.60, , , , 
86352,BR, , ,BR,BR
86353,$120.19, , , , 
86356,BR, , ,BR,BR
86357,BR, , ,BR,BR
86359,$64.24, , , , 
86360,$95.82, , , , 
86361,BR, , ,BR,BR
86367,BR, , ,BR,BR
86376,$36.00, , , , 
86378,$38.77, , , , 
86382,$39.33, , , , 
86384,$29.90, , , , 
86403,$13.84, , , , 
86406,$16.06, , , , 
86430,$16.06, , , , 
86431,$18.83, , , , 
86480,BR, , ,BR,BR
8648,BR, , ,BR,BR
86485,$12.74, , , , 
86486, $7.98, , , , 
86490,$14.40, , , , 
86510,$15.50, , , , 
86580,$12.74, , , , 
86590,$15.50, , , , 
86592,$11.07, , , , 
86593,$12.19, , , , 
86602,$34.34, , , , 
86603,$34.34, , , , 
86606,$37.66, , , , 
86609,BR, , ,BR,BR
86611,BR, , ,BR,BR
86612,$37.66, , , , 
86615,$42.64, , , , 
86617,$45.42, , , , 
86618,$42.64, , , , 
86619,$34.34, , , , 
86622,$25.47, , , , 
86625,$34.34, , , , 
86628,$40.99, , , , 
86631,$29.90, , , , 
86632,$33.23, , , , 
86635,$40.99, , , , 
86638,$34.34, , , , 
86641,$25.47, , , , 
86644,$39.33, , , , 
86645,$43.76, , , , 
86648,$37.66, , , , 
86651,$34.34, , , , 
86652,$34.34, , , , 
86653,$34.34, , , , 
86654,$34.34, , , , 
86658,$34.34, , , , 
86663,$40.99, , , , 
86664,$40.99, , , , 
86665,$44.30, , , , 
86666,BR, , ,BR,BR
86668,$25.47, , , , 
86671,$34.34, , , , 
86674,$34.34, , , , 
86677,$46.53, , , , 
86682,$42.64, , , , 
86684,$42.64, , , , 
86687,$34.34, , , , 
86688,$32.67, , , , 
86689,$45.42, , , , 
86692,$42.64, , , , 
86694,$37.66, , , , 
86695,$37.66, , , , 
86696,BR, , ,BR,BR
86698,$34.34, , , , 
86701,$19.61, , , , 
86702,$42.64, , , , 
86703,$29.36, , , , 
86704,$25.41, , , , 
86705,$25.71, , , , 
86706,$23.45, , , , 
86707,$25.25, , , , 
86708,$27.05, , , , 
86709,$24.57, , , , 
86710,$28.24, , , , 
86386 ,BR, , ,BR,BR
86711,BR, , ,BR,BR
86713,$40.99, , , , 
86717,$34.34, , , , 
86720,$34.34, , , , 
86723,$34.34, , , , 
86727,$34.34, , , , 
86729,$34.34, , , , 
86732,$34.34, , , , 
86735,$34.34, , , , 
86738,$34.34, , , , 
86741,$34.34, , , , 
86744,$34.34, , , , 
86747,$42.64, , , , 
86750,$34.34, , , , 
86753,$34.34, , , , 
86756,$34.34, , , , 
86757,$42.74, , , , 
86759,$34.34, , , , 
86762,$19.94, , , , 
86765,$42.64, , , , 
86768,$34.34, , , , 
86771,$34.34, , , , 
86774,$42.64, , , , 
86777,$32.67, , , , 
86778,$40.43, , , , 
86780,BR, , ,BR,BR
86784,$34.34, , , , 
86787,$37.66, , , , 
86788,BR, , ,BR,BR
86789,BR, , ,BR,BR
86790,$34.34, , , , 
86793,$34.34, , , , 
86800,$40.99, , , , 
